record_id,source_id,taxon,parasite,chemistry_resolution,phenotype_context,host_control,mechanistic_support,translation_level,overall_tier,appraisal_basis
P110,pf-artemisinin-oxidative-stress-2024,Artemisinin/A. annua-derived drug,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M3_direct_or_functional_target_class,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M3_direct_or_functional_target_class; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P111,pf-artemisinin-proteostasis-resistance-2024,Artemisinin/A. annua-derived drug,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M3_direct_or_functional_target_class,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M3_direct_or_functional_target_class; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P112,pf-artemisinin-heme-detox-2021,Artemisinin/A. annua-derived drug,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P113,pf-peroxide-redox-homeostasis-2022,Artemisinin/A. annua-derived drug,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M3_direct_or_functional_target_class,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M3_direct_or_functional_target_class; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P114,absinthium-trichinella-rats-2008,Artemisia absinthium,Trichinella spiralis,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P115,dracunculus-anopheles-nanogel-2022,Artemisia dracunculus,Anopheles stephensi,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P116,ludoviciana-fasciola-toxicity-2023,Artemisia ludoviciana subsp. mexicana,Fasciola hepatica,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P117,afra-mosquito-biting-negative-2000,Artemisia afra,mosquito vector,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P118,annua-plant-matrix-malaria-pk-2025,Artemisia annua,Plasmodium spp. in murine malaria models,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P119,absinthium-european-tinctures-2025,Artemisia absinthium,Strongyloides papillosus; Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P120,parthenin-parthenolide-malaria-transmission-2016,Parthenium hysterophorus / non-Artemisia comparator,Plasmodium falciparum and mosquito-stage Plasmodium,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P121,annua-co-metabolite-enhancement-2026,Artemisia annua,Plasmodium falciparum and rodent malaria,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P122,annua-discovery-metabolomics-malaria-2022,Artemisia annua,Plasmodium yoelii and A. annua extract fractions,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P123,annua-tea-metabolomics-malaria-2025,Artemisia annua,Plasmodium falciparum 3D7,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
